date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:49	182/182	---M-Z	200	added ('OK')	text/plain	date:Sat,%2011%20Mar%202023%2009:41:49%20GMT	https://www.sathyambio.net/robots.txt		(from )
15:11:50	82850/82850	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:50%20GMT	https://www.sathyambio.net/	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/index.html	(from )
15:11:51	2900/2900	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202023%2009:41:50%20GMT	https://5.imimg.com/data5/SELLER/Logo/2022/2/GV/ZV/NO/1364695/sathyam-bio-logo--120x120.png	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/5.imimg.com/data5/SELLER/Logo/2022/2/GV/ZV/NO/1364695/sathyam-bio-logo--120x120.jpg	(from https://www.sathyambio.net/)
15:11:51	29499/29499	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Jul%202022%2005:42:56%20GMT	https://tdw.imimg.com/template-tdw/d0067/style_17_min.css	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/tdw.imimg.com/template-tdw/d0067/style_17_min.css	(from https://www.sathyambio.net/)
15:11:53	62546/62546	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:52%20GMT	https://www.sathyambio.net/profile.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/profile.html	(from https://www.sathyambio.net/)
15:11:53	39470/39470	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:53%20GMT	https://www.sathyambio.net/enquiry.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/enquiry.html	(from https://www.sathyambio.net/)
15:11:54	57144/57144	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:54%20GMT	https://www.sathyambio.net/seaweed-gel-and-tablets.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/seaweed-gel-and-tablets.html	(from https://www.sathyambio.net/)
15:11:55	94539/94539	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:55%20GMT	https://www.sathyambio.net/seaweed-extract-fertilizer.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/seaweed-extract-fertilizer.html	(from https://www.sathyambio.net/)
15:11:57	65951/65951	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:56%20GMT	https://www.sathyambio.net/amino-acid.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/amino-acid.html	(from https://www.sathyambio.net/)
15:11:58	65266/65266	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:57%20GMT	https://www.sathyambio.net/humic-acid.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/humic-acid.html	(from https://www.sathyambio.net/)
15:11:59	65698/65698	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:58%20GMT	https://www.sathyambio.net/chemical-powder.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/chemical-powder.html	(from https://www.sathyambio.net/)
15:12:00	65551/65551	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:41:59%20GMT	https://www.sathyambio.net/micronutrient-fertilizer.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/micronutrient-fertilizer.html	(from https://www.sathyambio.net/)
15:12:01	61181/61181	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:00%20GMT	https://www.sathyambio.net/organic-fertilizer.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/organic-fertilizer.html	(from https://www.sathyambio.net/)
15:12:02	61372/61372	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:02%20GMT	https://www.sathyambio.net/organic-seaweed-granule.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/organic-seaweed-granule.html	(from https://www.sathyambio.net/)
15:12:03	61553/61553	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:03%20GMT	https://www.sathyambio.net/fulvic-acid.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/fulvic-acid.html	(from https://www.sathyambio.net/)
15:12:04	61878/61878	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:04%20GMT	https://www.sathyambio.net/seaweed-extract-powder.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/seaweed-extract-powder.html	(from https://www.sathyambio.net/)
15:12:06	61375/61375	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:05%20GMT	https://www.sathyambio.net/plant-growth-promoter.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/plant-growth-promoter.html	(from https://www.sathyambio.net/)
15:12:06	2100/2100	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202023%2009:42:06%20GMT	https://5.imimg.com/data5/SELLER/Logo/2022/2/GV/ZV/NO/1364695/sathyam-bio-logo--90x90.png	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/5.imimg.com/data5/SELLER/Logo/2022/2/GV/ZV/NO/1364695/sathyam-bio-logo--90x90.jpg	(from https://www.sathyambio.net/)
15:12:07	76098/76098	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:07%20GMT	https://www.sathyambio.net/testimonial.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/testimonial.html	(from https://www.sathyambio.net/)
15:12:08	61669/61669	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:08%20GMT	https://www.sathyambio.net/sitemap.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/sitemap.html	(from https://www.sathyambio.net/)
15:12:09	94839/94839	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Feb%202022%2006:20:49%20GMT	https://utils.imimg.com/imsrchui/js/jquery.js	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/utils.imimg.com/imsrchui/js/jquery.js	(from https://www.sathyambio.net/)
15:12:10	58955/58955	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:09%20GMT	https://www.sathyambio.net/company-brief.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/company-brief.html	(from https://www.sathyambio.net/profile.html)
15:12:11	51182/51182	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:11%20GMT	https://www.sathyambio.net/corporate-video.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/corporate-video.html	(from https://www.sathyambio.net/profile.html)
15:12:12	52502/52502	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:12%20GMT	https://www.sathyambio.net/corporate-brochure.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/corporate-brochure.html	(from https://www.sathyambio.net/profile.html)
15:12:13	52868/52868	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:13%20GMT	https://www.sathyambio.net/services.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/services.html	(from https://www.sathyambio.net/profile.html)
15:12:14	46608/46608	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2009:42:14%20GMT	https://www.sathyambio.net/franchisee.html	H:/Backup/Websites/www.sathyambio.net/www.sathyambio.net/www.sathyambio.net/franchisee.html	(from https://www.sathyambio.net/profile.html)
